OP;CGM;CNPJ;NOME;ELEMENTO;VALOR OP;VALOR RET;TIPO RET;DATA OP
561668;;;;;;;;
561669;;;;;10000;1698.67;IRRF - TRABALHO PRINCIPAL PF PMVR;
561670;;;;;;;;
561671;;;;;;;;
561672;;;;;12366.56;593.59;IRRF - TRABALHO PRINCIPAL PF PMVR;
561673;;;;;720;8.64;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
561677;;;;;863.6;10.36;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
561678;;;;;;;;
561679;;;;;975;48.75;RETENC. ISS EM LIQUIDAÇÃO;
561679;;;;;975;107.25;INSTITUTO NACIONAL DO SEGURO SOCIAL;
561680;;;;;780;39;RETENC. ISS EM LIQUIDAÇÃO;
561680;;;;;780;85.8;INSTITUTO NACIONAL DO SEGURO SOCIAL;
561681;;;;;;;;
561682;;;;;;;;
561683;;;;;3000;13.2;IRRF - TRABALHO PRINCIPAL PF PMVR;
561684;;;;;;;;
561685;;;;;;;;
561686;;;;;;;;
561687;;;;;;;;
561689;;;;;79100;949.2;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
561690;;;;;79100;949.2;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
561691;;;;;;;;
561692;;;;;;;;
561693;;;;;;;;
561694;;;;;6400;307.2;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
561695;;;;;;;;
561696;;;;;27.83;27.83;HSJB - IRRF RETIDO EM N.F;
561697;;;;;4808.33;96.17;ISS - PMVR;
561698;;;;;;;;
561699;;;;;;;;
561700;;;;;;;;
561701;;;;;26651.3;319.82;IRRF - GESTAO PLENA - SUS;
561702;;;;;;;;
561704;;;;;23.56;23.56;HSJB - IRRF RETIDO EM N.F;
561706;;;;;;;;
561707;;;;;;;;
561708;;;;;5600;151.2;ISS - GESTAO PLENA;
561709;;;;;;;;
561710;;;;;679.96;32.64;IRRF - PRESTADOR DE SERVIÇOS;
561711;;;;;;;;
561712;;;;;;;;
561713;;;;;;;;
561714;;;;;;;;
561715;;;;;69.82;69.82;HSJB - IRRF RETIDO EM N.F;
561716;;;;;13279.56;159.35;IRRF - GESTAO PLENA - SUS;
561717;;;;;;;;
561718;;;;;;;;
561719;;;;;;;;
561721;;;;;;;;
561722;;;;;;;;
561723;;;;;19677;236.12;IRRF - GESTAO PLENA - SUS;
561723;;;;;19677;983.85;ISS - GESTAO PLENA;
561724;;;;;;;;
